iter	RMSE
0	4.358863832
1	4.274004892
2	4.196518719
3	4.140655069
4	4.063204594
5	3.996211331
6	3.919572932
7	3.861085505
8	3.819017961
9	3.782902853
10	3.729525362
11	3.680078964
12	3.616265622
13	3.561491828
14	3.503775112
15	3.451707804
16	3.410427781
17	3.363520361
18	3.311631846
19	3.261137649
20	3.209666509
21	3.166909538
22	3.116547046
23	3.075479819
24	3.044241776
25	3.006208025
26	2.967999598
27	2.940500648
28	2.892722208
29	2.861281265
30	2.829349213
31	2.794993156
32	2.767306624
33	2.729427092
34	2.69995827
35	2.669018332
36	2.628497214
37	2.593076767
38	2.567703163
39	2.545978712
40	2.520307612
41	2.497925778
42	2.470843477
43	2.462816204
44	2.443927
45	2.417012161
46	2.396374913
47	2.368547755
48	2.344958281
49	2.317036165
50	2.296912668
51	2.278744181
52	2.25855367
53	2.234474384
54	2.214669148
55	2.19335819
56	2.178360499
57	2.170437351
58	2.155260722
59	2.139001459
60	2.122546165
61	2.106529547
62	2.079691301
63	2.067822222
64	2.05124232
65	2.044042432
66	2.030842921
67	2.016288005
68	1.999537399
69	1.97984764
70	1.959170338
71	1.949858654
72	1.935310467
73	1.925964084
74	1.9208857
75	1.915034845
76	1.901652132
77	1.886853532
78	1.873111137
79	1.86066793
80	1.842113635
81	1.829363
82	1.820915606
83	1.811423051
84	1.797909623
85	1.787585842
86	1.771949179
87	1.756032848
88	1.744066093
89	1.731137361
90	1.717042624
91	1.707758632
92	1.693642821
93	1.677278589
94	1.669530412
95	1.66140148
96	1.647294821
97	1.634419778
98	1.623195125
99	1.610862772
100	1.601156614
101	1.591828508
102	1.582620693
103	1.575266291
104	1.565674524
105	1.553857142
106	1.540857292
107	1.531858473
108	1.524022703
109	1.517007334
110	1.506951106
111	1.498873424
112	1.491323312
113	1.480727628
114	1.474813104
115	1.465881431
116	1.457266376
117	1.451388677
118	1.446017633
119	1.445093593
120	1.433193358
121	1.420425834
122	1.41370563
123	1.406368109
124	1.39980977
125	1.39002833
126	1.385045397
127	1.376802482
128	1.372390679
129	1.359624284
130	1.354102118
131	1.347569985
132	1.339049515
133	1.332311643
134	1.324897933
135	1.317778666
136	1.31192485
137	1.305013435
138	1.298213974
139	1.290372582
140	1.285957681
141	1.278185825
142	1.276996099
143	1.271650726
144	1.26556215
145	1.264074229
146	1.259627019
147	1.254467739
148	1.249329828
149	1.241144845
150	1.239378193
151	1.232291805
152	1.22431506
153	1.219518474
154	1.210003507
155	1.206895307
156	1.202774195
157	1.196378388
158	1.191043192
159	1.184215412
160	1.179212608
161	1.175339526
162	1.16809363
163	1.16225234
164	1.151080955
165	1.142511816
166	1.140298646
167	1.135159847
168	1.129024034
169	1.121556605
170	1.118978939
171	1.114420144
172	1.107276268
173	1.101796079
174	1.094289636
175	1.090378384
176	1.088471339
177	1.087122419
178	1.085470809
179	1.076860064
180	1.07340878
181	1.067111883
182	1.063191994
183	1.062016423
184	1.056406073
185	1.053379902
186	1.045760709
187	1.039203494
188	1.037688299
189	1.031457442
190	1.028493098
191	1.023939335
192	1.021244278
193	1.015871959
194	1.01072453
195	1.008314444
196	1.003145959
197	1.001149724
198	0.9984509821
199	0.9948676026
200	0.9911118462
201	0.9897654532
202	0.9872732732
203	0.9797324069
204	0.9781719342
205	0.9742555551
206	0.9684829029
207	0.9619663302
208	0.9569989548
209	0.9515818486
210	0.9490013751
211	0.946611751
212	0.9437600848
213	0.940600656
214	0.9383276547
215	0.9369376763
216	0.9307807934
217	0.9259851536
218	0.9233607553
219	0.9214262675
220	0.9193229601
221	0.9175642308
222	0.9157516681
223	0.9108642799
224	0.9068875418
225	0.9049137495
226	0.9026846495
227	0.8990327648
228	0.895587637
229	0.8876237888
230	0.8835266473
231	0.8824872542
232	0.8759496931
233	0.8724883181
234	0.8703956086
235	0.8684391233
236	0.8638296418
237	0.863406547
238	0.8594549833
239	0.8554499551
240	0.8522752701
241	0.8508225653
242	0.8490015049
243	0.8470952783
244	0.845804393
245	0.8441146634
246	0.8428697317
247	0.840978675
248	0.837374293
249	0.8361812685
250	0.8320554568
251	0.8310610765
252	0.8280225882
253	0.8268287343
254	0.82242936
255	0.820945174
256	0.8196911853
257	0.8181404637
258	0.8172784603
259	0.8158914762
260	0.810122653
261	0.8055877433
262	0.8017093042
263	0.7983971105
264	0.7953759406
265	0.7935296945
266	0.7893966163
267	0.7845719829
268	0.7819690247
269	0.778438911
270	0.7769307238
271	0.7752611915
272	0.7717012432
273	0.7712540694
274	0.7677073594
275	0.7648887046
276	0.7572499683
277	0.756019724
278	0.7538520753
279	0.7526825927
280	0.7484762558
281	0.7473643311
282	0.7433671637
283	0.7406523385
284	0.7373964703
285	0.7361288264
286	0.7336247342
287	0.7304346279
288	0.7285084971
289	0.7228960655
290	0.7209308786
291	0.7200718855
292	0.718249431
293	0.7143428804
294	0.7123703555
295	0.7116759894
296	0.7089498549
297	0.7057180035
298	0.7031739419
299	0.7014556913
